PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Gender,Age_Imputed,Title,FamilySize,IsAlone,CabinDeck,TicketCount,Fare_outlier,Fare_capped,AgeGroup,Embarked_filled,Age_clean,Gender_num
46,0,3,male,,0,0,8.05,S,0,25.0,,1,True,U,1,False,8.05,YoungAdult,S,25.0,
47,0,3,male,,1,0,15.5,Q,0,25.0,,2,False,U,1,False,15.5,YoungAdult,Q,25.0,
48,1,3,female,,0,0,7.75,Q,1,21.5,,1,True,U,1,False,7.75,YoungAdult,Q,21.5,
49,0,3,male,,2,0,21.6792,C,0,25.0,,3,False,U,1,False,21.6792,YoungAdult,C,25.0,
50,0,3,female,18.0,1,0,17.8,S,1,18.0,,2,False,U,2,False,17.8,YoungAdult,S,18.0,
51,0,3,male,7.0,4,1,39.6875,S,0,7.0,,6,False,U,6,False,39.6875,Child,S,7.0,
52,0,3,male,21.0,0,0,7.8,S,0,21.0,,1,True,U,1,False,7.8,YoungAdult,S,21.0,
53,1,1,female,49.0,1,0,76.7292,C,1,49.0,,2,False,D,3,False,76.7292,Adult,C,49.0,
54,1,2,female,29.0,1,0,26.0,S,1,29.0,,2,False,U,1,False,26.0,YoungAdult,S,29.0,
55,0,1,male,65.0,0,1,61.9792,C,0,65.0,,2,False,B,1,False,61.9792,Senior,C,65.0,
56,1,1,male,,0,0,35.5,S,0,40.0,,1,True,C,1,False,35.5,Adult,S,40.0,
57,1,2,female,21.0,0,0,10.5,S,1,21.0,,1,True,U,1,False,10.5,YoungAdult,S,21.0,
58,0,3,male,28.5,0,0,7.2292,C,0,28.5,,1,True,U,1,False,7.2292,YoungAdult,C,28.5,
59,1,2,female,5.0,1,2,27.75,S,1,5.0,,4,False,U,3,False,27.75,Child,S,5.0,
60,0,3,male,11.0,5,2,46.9,S,0,11.0,,8,False,U,6,False,46.9,Child,S,11.0,
61,0,3,male,22.0,0,0,7.2292,C,0,22.0,,1,True,U,1,False,7.2292,YoungAdult,C,22.0,
62,1,1,female,38.0,0,0,80.0,,1,38.0,,1,True,B,2,False,80.0,Adult,S,38.0,
63,0,1,male,45.0,1,0,83.475,S,0,45.0,,2,False,C,2,False,83.475,Adult,S,45.0,
64,0,3,male,4.0,3,2,27.9,S,0,4.0,,6,False,U,6,False,27.9,Child,S,4.0,
65,0,1,male,,0,0,27.7208,C,0,40.0,,1,True,U,1,False,27.7208,Adult,C,40.0,
66,1,3,male,,1,1,15.2458,C,0,25.0,,3,False,U,2,False,15.2458,YoungAdult,C,25.0,
67,1,2,female,29.0,0,0,10.5,S,1,29.0,,1,True,F,1,False,10.5,YoungAdult,S,29.0,
68,0,3,male,19.0,0,0,8.1583,S,0,19.0,,1,True,U,1,False,8.1583,YoungAdult,S,19.0,
69,1,3,female,17.0,4,2,7.925,S,1,17.0,,7,False,U,1,False,7.925,Teen,S,17.0,
70,0,3,male,26.0,2,0,8.6625,S,0,26.0,,3,False,U,1,False,8.6625,YoungAdult,S,26.0,
71,0,2,male,32.0,0,0,10.5,S,0,32.0,,1,True,U,1,False,10.5,Adult,S,32.0,
72,0,3,female,16.0,5,2,46.9,S,1,16.0,,8,False,U,6,False,46.9,Teen,S,16.0,
73,0,2,male,21.0,0,0,73.5,S,0,21.0,,1,True,U,5,False,73.5,YoungAdult,S,21.0,
74,0,3,male,26.0,1,0,14.4542,C,0,26.0,,2,False,U,1,False,14.4542,YoungAdult,C,26.0,
75,1,3,male,32.0,0,0,56.4958,S,0,32.0,,1,True,U,7,False,56.4958,Adult,S,32.0,
76,0,3,male,25.0,0,0,7.65,S,0,25.0,,1,True,F,1,False,7.65,YoungAdult,S,25.0,
77,0,3,male,,0,0,7.8958,S,0,25.0,,1,True,U,1,False,7.8958,YoungAdult,S,25.0,
78,0,3,male,,0,0,8.05,S,0,25.0,,1,True,U,1,False,8.05,YoungAdult,S,25.0,
79,1,2,male,0.83,0,2,29.0,S,0,0.83,,3,False,U,2,False,29.0,Child,S,0.83,
80,1,3,female,30.0,0,0,12.475,S,1,30.0,,1,True,U,2,False,12.475,Adult,S,30.0,
81,0,3,male,22.0,0,0,9.0,S,0,22.0,,1,True,U,1,False,9.0,YoungAdult,S,22.0,
82,1,3,male,29.0,0,0,9.5,S,0,29.0,,1,True,U,1,False,9.5,YoungAdult,S,29.0,
83,1,3,female,,0,0,7.7875,Q,1,21.5,,1,True,U,1,False,7.7875,YoungAdult,Q,21.5,
84,0,1,male,28.0,0,0,47.1,S,0,28.0,,1,True,U,1,False,47.1,YoungAdult,S,28.0,
85,1,2,female,17.0,0,0,10.5,S,1,17.0,,1,True,U,1,False,10.5,Teen,S,17.0,
86,1,3,female,33.0,3,0,15.85,S,1,33.0,,4,False,U,2,False,15.85,Adult,S,33.0,
87,0,3,male,16.0,1,3,34.375,S,0,16.0,,5,False,U,4,False,34.375,Teen,S,16.0,
88,0,3,male,,0,0,8.05,S,0,25.0,,1,True,U,1,False,8.05,YoungAdult,S,25.0,
89,1,1,female,23.0,3,2,263.0,S,1,23.0,,6,False,C,4,True,249.00622000000035,YoungAdult,S,23.0,
90,0,3,male,24.0,0,0,8.05,S,0,24.0,,1,True,U,1,False,8.05,YoungAdult,S,24.0,
91,0,3,male,29.0,0,0,8.05,S,0,29.0,,1,True,U,1,False,8.05,YoungAdult,S,29.0,
92,0,3,male,20.0,0,0,7.8542,S,0,20.0,,1,True,U,1,False,7.8542,YoungAdult,S,20.0,
93,0,1,male,46.0,1,0,61.175,S,0,46.0,,2,False,E,1,False,61.175,Adult,S,46.0,
94,0,3,male,26.0,1,2,20.575,S,0,26.0,,4,False,U,2,False,20.575,YoungAdult,S,26.0,
95,0,3,male,59.0,0,0,7.25,S,0,59.0,,1,True,U,1,False,7.25,Adult,S,59.0,
96,0,3,male,,0,0,8.05,S,0,25.0,,1,True,U,1,False,8.05,YoungAdult,S,25.0,
97,0,1,male,71.0,0,0,34.6542,C,0,71.0,,1,True,A,1,False,34.6542,Senior,C,71.0,
98,1,1,male,23.0,0,1,63.3583,C,0,23.0,,2,False,D,1,False,63.3583,YoungAdult,C,23.0,
99,1,2,female,34.0,0,1,23.0,S,1,34.0,,2,False,U,2,False,23.0,Adult,S,34.0,
100,0,2,male,34.0,1,0,26.0,S,0,34.0,,2,False,U,2,False,26.0,Adult,S,34.0,
101,0,3,female,28.0,0,0,7.8958,S,1,28.0,,1,True,U,1,False,7.8958,YoungAdult,S,28.0,
102,0,3,male,,0,0,7.8958,S,0,25.0,,1,True,U,1,False,7.8958,YoungAdult,S,25.0,
103,0,1,male,21.0,0,1,77.2875,S,0,21.0,,2,False,D,2,False,77.2875,YoungAdult,S,21.0,
104,0,3,male,33.0,0,0,8.6542,S,0,33.0,,1,True,U,1,False,8.6542,Adult,S,33.0,
105,0,3,male,37.0,2,0,7.925,S,0,37.0,,3,False,U,1,False,7.925,Adult,S,37.0,
106,0,3,male,28.0,0,0,7.8958,S,0,28.0,,1,True,U,1,False,7.8958,YoungAdult,S,28.0,
107,1,3,female,21.0,0,0,7.65,S,1,21.0,,1,True,U,1,False,7.65,YoungAdult,S,21.0,
108,1,3,male,,0,0,7.775,S,0,25.0,,1,True,U,1,False,7.775,YoungAdult,S,25.0,
109,0,3,male,38.0,0,0,7.8958,S,0,38.0,,1,True,U,1,False,7.8958,Adult,S,38.0,
110,1,3,female,,1,0,24.15,Q,1,21.5,,2,False,U,3,False,24.15,YoungAdult,Q,21.5,
111,0,1,male,47.0,0,0,52.0,S,0,47.0,,1,True,C,2,False,52.0,Adult,S,47.0,
112,0,3,female,14.5,1,0,14.4542,C,1,14.5,,2,False,U,2,False,14.4542,Teen,C,14.5,
113,0,3,male,22.0,0,0,8.05,S,0,22.0,,1,True,U,1,False,8.05,YoungAdult,S,22.0,
114,0,3,female,20.0,1,0,9.825,S,1,20.0,,2,False,U,1,False,9.825,YoungAdult,S,20.0,
115,0,3,female,17.0,0,0,14.4583,C,1,17.0,,1,True,U,2,False,14.4583,Teen,C,17.0,
116,0,3,male,21.0,0,0,7.925,S,0,21.0,,1,True,U,1,False,7.925,YoungAdult,S,21.0,
117,0,3,male,70.5,0,0,7.75,Q,0,70.5,,1,True,U,1,False,7.75,Senior,Q,70.5,
118,0,2,male,29.0,1,0,21.0,S,0,29.0,,2,False,U,2,False,21.0,YoungAdult,S,29.0,
119,0,1,male,24.0,0,1,247.5208,C,0,24.0,,2,False,B,2,False,247.5208,YoungAdult,C,24.0,
120,0,3,female,2.0,4,2,31.275,S,1,2.0,,7,False,U,7,False,31.275,Child,S,2.0,
121,0,2,male,21.0,2,0,73.5,S,0,21.0,,3,False,U,5,False,73.5,YoungAdult,S,21.0,
122,0,3,male,,0,0,8.05,S,0,25.0,,1,True,U,1,False,8.05,YoungAdult,S,25.0,
123,0,2,male,32.5,1,0,30.0708,C,0,32.5,,2,False,U,2,False,30.0708,Adult,C,32.5,
124,1,2,female,32.5,0,0,13.0,S,1,32.5,,1,True,E,1,False,13.0,Adult,S,32.5,
125,0,1,male,54.0,0,1,77.2875,S,0,54.0,,2,False,D,2,False,77.2875,Adult,S,54.0,
126,1,3,male,12.0,1,0,11.2417,C,0,12.0,,2,False,U,2,False,11.2417,Teen,C,12.0,
127,0,3,male,,0,0,7.75,Q,0,25.0,,1,True,U,1,False,7.75,YoungAdult,Q,25.0,
128,1,3,male,24.0,0,0,7.1417,S,0,24.0,,1,True,U,1,False,7.1417,YoungAdult,S,24.0,
129,1,3,female,,1,1,22.3583,C,1,21.5,,3,False,F,2,False,22.3583,YoungAdult,C,21.5,
130,0,3,male,45.0,0,0,6.975,S,0,45.0,,1,True,U,1,False,6.975,Adult,S,45.0,
131,0,3,male,33.0,0,0,7.8958,C,0,33.0,,1,True,U,1,False,7.8958,Adult,C,33.0,
132,0,3,male,20.0,0,0,7.05,S,0,20.0,,1,True,U,1,False,7.05,YoungAdult,S,20.0,
133,0,3,female,47.0,1,0,14.5,S,1,47.0,,2,False,U,1,False,14.5,Adult,S,47.0,
134,1,2,female,29.0,1,0,26.0,S,1,29.0,,2,False,U,1,False,26.0,YoungAdult,S,29.0,
135,0,2,male,25.0,0,0,13.0,S,0,25.0,,1,True,U,1,False,13.0,YoungAdult,S,25.0,
136,0,2,male,23.0,0,0,15.0458,C,0,23.0,,1,True,U,1,False,15.0458,YoungAdult,C,23.0,
137,1,1,female,19.0,0,2,26.2833,S,1,19.0,,3,False,D,1,False,26.2833,YoungAdult,S,19.0,
138,0,1,male,37.0,1,0,53.1,S,0,37.0,,2,False,C,2,False,53.1,Adult,S,37.0,
139,0,3,male,16.0,0,0,9.2167,S,0,16.0,,1,True,U,2,False,9.2167,Teen,S,16.0,
140,0,1,male,24.0,0,0,79.2,C,0,24.0,,1,True,B,2,False,79.2,YoungAdult,C,24.0,
141,0,3,female,,0,2,15.2458,C,1,21.5,,3,False,U,2,False,15.2458,YoungAdult,C,21.5,
142,1,3,female,22.0,0,0,7.75,S,1,22.0,,1,True,U,1,False,7.75,YoungAdult,S,22.0,
143,1,3,female,24.0,1,0,15.85,S,1,24.0,,2,False,U,2,False,15.85,YoungAdult,S,24.0,
144,0,3,male,19.0,0,0,6.75,Q,0,19.0,,1,True,U,1,False,6.75,YoungAdult,Q,19.0,
145,0,2,male,18.0,0,0,11.5,S,0,18.0,,1,True,U,1,False,11.5,YoungAdult,S,18.0,
146,0,2,male,19.0,1,1,36.75,S,0,19.0,,3,False,U,2,False,36.75,YoungAdult,S,19.0,
147,1,3,male,27.0,0,0,7.7958,S,0,27.0,,1,True,U,1,False,7.7958,YoungAdult,S,27.0,
148,0,3,female,9.0,2,2,34.375,S,1,9.0,,5,False,U,4,False,34.375,Child,S,9.0,
149,0,2,male,36.5,0,2,26.0,S,0,36.5,,3,False,F,3,False,26.0,Adult,S,36.5,
150,0,2,male,42.0,0,0,13.0,S,0,42.0,,1,True,U,1,False,13.0,Adult,S,42.0,
151,0,2,male,51.0,0,0,12.525,S,0,51.0,,1,True,U,1,False,12.525,Adult,S,51.0,
152,1,1,female,22.0,1,0,66.6,S,1,22.0,,2,False,C,2,False,66.6,YoungAdult,S,22.0,
153,0,3,male,55.5,0,0,8.05,S,0,55.5,,1,True,U,1,False,8.05,Adult,S,55.5,
154,0,3,male,40.5,0,2,14.5,S,0,40.5,,3,False,U,1,False,14.5,Adult,S,40.5,
155,0,3,male,,0,0,7.3125,S,0,25.0,,1,True,U,1,False,7.3125,YoungAdult,S,25.0,
156,0,1,male,51.0,0,1,61.3792,C,0,51.0,,2,False,U,1,False,61.3792,Adult,C,51.0,
157,1,3,female,16.0,0,0,7.7333,Q,1,16.0,,1,True,U,1,False,7.7333,Teen,Q,16.0,
158,0,3,male,30.0,0,0,8.05,S,0,30.0,,1,True,U,1,False,8.05,Adult,S,30.0,
159,0,3,male,,0,0,8.6625,S,0,25.0,,1,True,U,1,False,8.6625,YoungAdult,S,25.0,
160,0,3,male,,8,2,69.55,S,0,25.0,,11,False,U,7,False,69.55,YoungAdult,S,25.0,
161,0,3,male,44.0,0,1,16.1,S,0,44.0,,2,False,U,1,False,16.1,Adult,S,44.0,
162,1,2,female,40.0,0,0,15.75,S,1,40.0,,1,True,U,1,False,15.75,Adult,S,40.0,
163,0,3,male,26.0,0,0,7.775,S,0,26.0,,1,True,U,1,False,7.775,YoungAdult,S,26.0,
164,0,3,male,17.0,0,0,8.6625,S,0,17.0,,1,True,U,1,False,8.6625,Teen,S,17.0,
165,0,3,male,1.0,4,1,39.6875,S,0,1.0,,6,False,U,6,False,39.6875,Child,S,1.0,
166,1,3,male,9.0,0,2,20.525,S,0,9.0,,3,False,U,3,False,20.525,Child,S,9.0,
167,1,1,female,,0,1,55.0,S,1,35.0,,2,False,E,2,False,55.0,Adult,S,35.0,
168,0,3,female,45.0,1,4,27.9,S,1,45.0,,6,False,U,6,False,27.9,Adult,S,45.0,
169,0,1,male,,0,0,25.925,S,0,40.0,,1,True,U,1,False,25.925,Adult,S,40.0,
170,0,3,male,28.0,0,0,56.4958,S,0,28.0,,1,True,U,7,False,56.4958,YoungAdult,S,28.0,
171,0,1,male,61.0,0,0,33.5,S,0,61.0,,1,True,B,1,False,33.5,Senior,S,61.0,
172,0,3,male,4.0,4,1,29.125,Q,0,4.0,,6,False,U,5,False,29.125,Child,Q,4.0,
173,1,3,female,1.0,1,1,11.1333,S,1,1.0,,3,False,U,3,False,11.1333,Child,S,1.0,
174,0,3,male,21.0,0,0,7.925,S,0,21.0,,1,True,U,1,False,7.925,YoungAdult,S,21.0,
175,0,1,male,56.0,0,0,30.6958,C,0,56.0,,1,True,A,1,False,30.6958,Adult,C,56.0,
176,0,3,male,18.0,1,1,7.8542,S,0,18.0,,3,False,U,1,False,7.8542,YoungAdult,S,18.0,
177,0,3,male,,3,1,25.4667,S,0,25.0,,5,False,U,4,False,25.4667,YoungAdult,S,25.0,
178,0,1,female,50.0,0,0,28.7125,C,1,50.0,,1,True,C,1,False,28.7125,Adult,C,50.0,
179,0,2,male,30.0,0,0,13.0,S,0,30.0,,1,True,U,1,False,13.0,Adult,S,30.0,
180,0,3,male,36.0,0,0,0.0,S,0,36.0,,1,True,U,4,False,0.0,Adult,S,36.0,
181,0,3,female,,8,2,69.55,S,1,21.5,,11,False,U,7,False,69.55,YoungAdult,S,21.5,
182,0,2,male,,0,0,15.05,C,0,30.0,,1,True,U,1,False,15.05,Adult,C,30.0,
183,0,3,male,9.0,4,2,31.3875,S,0,9.0,,7,False,U,4,False,31.3875,Child,S,9.0,
184,1,2,male,1.0,2,1,39.0,S,0,1.0,,4,False,F,2,False,39.0,Child,S,1.0,
185,1,3,female,4.0,0,2,22.025,S,1,4.0,,3,False,U,1,False,22.025,Child,S,4.0,
186,0,1,male,,0,0,50.0,S,0,40.0,,1,True,A,1,False,50.0,Adult,S,40.0,
187,1,3,female,,1,0,15.5,Q,1,21.5,,2,False,U,2,False,15.5,YoungAdult,Q,21.5,
188,1,1,male,45.0,0,0,26.55,S,0,45.0,,1,True,U,1,False,26.55,Adult,S,45.0,
189,0,3,male,40.0,1,1,15.5,Q,0,40.0,,3,False,U,2,False,15.5,Adult,Q,40.0,
190,0,3,male,36.0,0,0,7.8958,S,0,36.0,,1,True,U,1,False,7.8958,Adult,S,36.0,
191,1,2,female,32.0,0,0,13.0,S,1,32.0,,1,True,U,1,False,13.0,Adult,S,32.0,
192,0,2,male,19.0,0,0,13.0,S,0,19.0,,1,True,U,1,False,13.0,YoungAdult,S,19.0,
193,1,3,female,19.0,1,0,7.8542,S,1,19.0,,2,False,U,1,False,7.8542,YoungAdult,S,19.0,
194,1,2,male,3.0,1,1,26.0,S,0,3.0,,3,False,F,3,False,26.0,Child,S,3.0,
195,1,1,female,44.0,0,0,27.7208,C,1,44.0,,1,True,B,1,False,27.7208,Adult,C,44.0,
196,1,1,female,58.0,0,0,146.5208,C,1,58.0,,1,True,B,2,False,146.5208,Adult,C,58.0,
197,0,3,male,,0,0,7.75,Q,0,25.0,,1,True,U,1,False,7.75,YoungAdult,Q,25.0,
198,0,3,male,42.0,0,1,8.4042,S,0,42.0,,2,False,U,1,False,8.4042,Adult,S,42.0,
199,1,3,female,,0,0,7.75,Q,1,21.5,,1,True,U,1,False,7.75,YoungAdult,Q,21.5,
200,0,2,female,24.0,0,0,13.0,S,1,24.0,,1,True,U,1,False,13.0,YoungAdult,S,24.0,
201,0,3,male,28.0,0,0,9.5,S,0,28.0,,1,True,U,1,False,9.5,YoungAdult,S,28.0,
202,0,3,male,,8,2,69.55,S,0,25.0,,11,False,U,7,False,69.55,YoungAdult,S,25.0,
203,0,3,male,34.0,0,0,6.4958,S,0,34.0,,1,True,U,1,False,6.4958,Adult,S,34.0,
204,0,3,male,45.5,0,0,7.225,C,0,45.5,,1,True,U,1,False,7.225,Adult,C,45.5,
205,1,3,male,18.0,0,0,8.05,S,0,18.0,,1,True,U,1,False,8.05,YoungAdult,S,18.0,
206,0,3,female,2.0,0,1,10.4625,S,1,2.0,,2,False,G,2,False,10.4625,Child,S,2.0,
207,0,3,male,32.0,1,0,15.85,S,0,32.0,,2,False,U,2,False,15.85,Adult,S,32.0,
208,1,3,male,26.0,0,0,18.7875,C,0,26.0,,1,True,U,2,False,18.7875,YoungAdult,C,26.0,
209,1,3,female,16.0,0,0,7.75,Q,1,16.0,,1,True,U,1,False,7.75,Teen,Q,16.0,
210,1,1,male,40.0,0,0,31.0,C,0,40.0,,1,True,A,1,False,31.0,Adult,C,40.0,
211,0,3,male,24.0,0,0,7.05,S,0,24.0,,1,True,U,1,False,7.05,YoungAdult,S,24.0,
212,1,2,female,35.0,0,0,21.0,S,1,35.0,,1,True,U,1,False,21.0,Adult,S,35.0,
213,0,3,male,22.0,0,0,7.25,S,0,22.0,,1,True,U,1,False,7.25,YoungAdult,S,22.0,
214,0,2,male,30.0,0,0,13.0,S,0,30.0,,1,True,U,1,False,13.0,Adult,S,30.0,
215,0,3,male,,1,0,7.75,Q,0,25.0,,2,False,U,1,False,7.75,YoungAdult,Q,25.0,
216,1,1,female,31.0,1,0,113.275,C,1,31.0,,2,False,D,3,False,113.275,Adult,C,31.0,
217,1,3,female,27.0,0,0,7.925,S,1,27.0,,1,True,U,1,False,7.925,YoungAdult,S,27.0,
218,0,2,male,42.0,1,0,27.0,S,0,42.0,,2,False,U,2,False,27.0,Adult,S,42.0,
219,1,1,female,32.0,0,0,76.2917,C,1,32.0,,1,True,D,1,False,76.2917,Adult,C,32.0,
220,0,2,male,30.0,0,0,10.5,S,0,30.0,,1,True,U,1,False,10.5,Adult,S,30.0,
221,1,3,male,16.0,0,0,8.05,S,0,16.0,,1,True,U,1,False,8.05,Teen,S,16.0,
222,0,2,male,27.0,0,0,13.0,S,0,27.0,,1,True,U,1,False,13.0,YoungAdult,S,27.0,
223,0,3,male,51.0,0,0,8.05,S,0,51.0,,1,True,U,1,False,8.05,Adult,S,51.0,
224,0,3,male,,0,0,7.8958,S,0,25.0,,1,True,U,1,False,7.8958,YoungAdult,S,25.0,
225,1,1,male,38.0,1,0,90.0,S,0,38.0,,2,False,C,2,False,90.0,Adult,S,38.0,
226,0,3,male,22.0,0,0,9.35,S,0,22.0,,1,True,U,1,False,9.35,YoungAdult,S,22.0,
227,1,2,male,19.0,0,0,10.5,S,0,19.0,,1,True,U,1,False,10.5,YoungAdult,S,19.0,
228,0,3,male,20.5,0,0,7.25,S,0,20.5,,1,True,U,1,False,7.25,YoungAdult,S,20.5,
229,0,2,male,18.0,0,0,13.0,S,0,18.0,,1,True,U,1,False,13.0,YoungAdult,S,18.0,
230,0,3,female,,3,1,25.4667,S,1,21.5,,5,False,U,4,False,25.4667,YoungAdult,S,21.5,
231,1,1,female,35.0,1,0,83.475,S,1,35.0,,2,False,C,2,False,83.475,Adult,S,35.0,
232,0,3,male,29.0,0,0,7.775,S,0,29.0,,1,True,U,1,False,7.775,YoungAdult,S,29.0,
233,0,2,male,59.0,0,0,13.5,S,0,59.0,,1,True,U,1,False,13.5,Adult,S,59.0,
234,1,3,female,5.0,4,2,31.3875,S,1,5.0,,7,False,U,4,False,31.3875,Child,S,5.0,
235,0,2,male,24.0,0,0,10.5,S,0,24.0,,1,True,U,1,False,10.5,YoungAdult,S,24.0,
236,0,3,female,,0,0,7.55,S,1,21.5,,1,True,U,1,False,7.55,YoungAdult,S,21.5,
237,0,2,male,44.0,1,0,26.0,S,0,44.0,,2,False,U,1,False,26.0,Adult,S,44.0,
238,1,2,female,8.0,0,2,26.25,S,1,8.0,,3,False,U,3,False,26.25,Child,S,8.0,
239,0,2,male,19.0,0,0,10.5,S,0,19.0,,1,True,U,1,False,10.5,YoungAdult,S,19.0,
240,0,2,male,33.0,0,0,12.275,S,0,33.0,,1,True,U,1,False,12.275,Adult,S,33.0,
241,0,3,female,,1,0,14.4542,C,1,21.5,,2,False,U,2,False,14.4542,YoungAdult,C,21.5,
242,1,3,female,,1,0,15.5,Q,1,21.5,,2,False,U,2,False,15.5,YoungAdult,Q,21.5,
243,0,2,male,29.0,0,0,10.5,S,0,29.0,,1,True,U,1,False,10.5,YoungAdult,S,29.0,
244,0,3,male,22.0,0,0,7.125,S,0,22.0,,1,True,U,1,False,7.125,YoungAdult,S,22.0,
245,0,3,male,30.0,0,0,7.225,C,0,30.0,,1,True,U,1,False,7.225,Adult,C,30.0,
246,0,1,male,44.0,2,0,90.0,Q,0,44.0,,3,False,C,2,False,90.0,Adult,Q,44.0,
247,0,3,female,25.0,0,0,7.775,S,1,25.0,,1,True,U,1,False,7.775,YoungAdult,S,25.0,
